DateTime,Lat,Lon
2009.11.24 17:00:35,70.367818,-131.653333
2009.11.25 17:00:35,70.407643,-131.566386
2009.11.26 17:00:50,70.530038,-131.755128
2009.11.27 17:00:37,70.669856,-131.829028
2009.11.28 17:00:53,70.796885,-131.834435
2009.11.29 17:00:35,70.89396,-131.740193
2009.11.30 17:00:34,70.958762,-130.873218
2009.12.01 17:00:34,71.097293,-130.504575
2009.12.02 17:00:35,71.223378,-130.251803
2009.12.03 17:00:35,71.277366,-129.462848
2009.12.04 17:00:35,71.11506,-128.69904
2009.12.05 17:00:35,71.082101,-128.329196
2009.12.06 17:00:36,71.171365,-128.213325
2009.12.07 17:00:35,71.417098,-128.012996
2009.12.08 17:00:50,71.461129,-127.901244
2009.12.09 17:00:36,71.540608,-127.895064
2009.12.10 17:00:36,71.514173,-127.952657
2009.12.11 17:00:37,71.649528,-128.164916
2009.12.12 17:00:50,71.812692,-128.346276
2009.12.13 17:00:35,72.011218,-128.216586
2009.12.14 17:00:34,72.045121,-128.356919
2009.12.15 17:00:38,71.975684,-128.354688
2009.12.16 17:00:38,71.890368,-128.415198
2009.12.17 17:00:35,71.80531,-128.469443
2009.12.18 17:00:34,71.793294,-129.04408
2009.12.19 17:00:36,71.803164,-129.538293
2009.12.20 17:00:35,71.802392,-129.978089
2009.12.21 17:00:36,71.764455,-130.341239
2009.12.22 17:00:37,71.858354,-130.610404
2009.12.23 17:00:36,71.885562,-130.858626
2009.12.24 17:00:37,71.820331,-131.175685
2009.12.25 17:00:50,71.671844,-131.516604
2009.12.26 17:00:41,71.550994,-131.847482
2009.12.27 17:00:35,71.488166,-131.897092
2009.12.28 17:00:39,71.4607,-132.359805
2009.12.29 17:00:34,71.337104,-132.805095
2009.12.30 17:00:53,71.306548,-133.179488
2009.12.31 17:00:50,71.157031,-133.526073
2010.01.01 17:00:50,70.933871,-132.95444
2010.01.02 17:00:50,70.848727,-131.999488
2010.01.03 17:00:45,70.811734,-131.601233
2010.01.04 17:00:35,70.766501,-131.375842
2010.01.05 17:00:50,70.700498,-131.209331
2010.01.06 17:00:50,70.740666,-131.210017
2010.01.07 17:00:39,70.769506,-131.203408
2010.01.08 17:00:53,70.699382,-130.746617
2010.01.09 17:00:53,70.65166,-130.678382
2010.01.10 17:00:51,70.670629,-130.657525
2010.01.11 17:00:53,70.716977,-130.44312
2010.01.12 17:00:36,70.802894,-130.348191
2010.01.13 17:00:35,70.874648,-130.263562
2010.01.14 17:00:36,71.026053,-130.317979
2010.01.15 17:00:35,71.036096,-130.08512
2010.01.16 17:00:35,71.094289,-129.890456
2010.01.17 17:00:36,71.133685,-129.808745
2010.01.18 17:00:35,71.192994,-129.596229
2010.01.19 17:00:54,71.155658,-129.439073
2010.01.20 17:00:37,71.176343,-129.564471
2010.01.21 17:00:36,71.135144,-129.48422
2010.01.22 17:00:36,71.127677,-129.626012
2010.01.23 17:01:29,71.106477,-129.794669
2010.01.24 17:00:37,71.104417,-129.745231
2010.01.25 17:00:35,71.101327,-129.67957
2010.01.26 17:00:35,71.049314,-129.816298
2010.01.27 17:00:35,70.945458,-129.647813
2010.01.28 17:00:36,70.963483,-129.734073
2010.01.29 17:00:35,71.03704,-130.523543
2010.01.30 17:00:51,71.023221,-130.854249
2010.01.31 17:00:37,70.965199,-131.018529
2010.02.01 17:00:36,70.880485,-130.761809
2010.02.02 17:00:39,70.814567,-130.486207
2010.02.03 17:00:49,70.870099,-129.713473
2010.02.04 17:00:35,70.872416,-129.310412
2010.02.05 17:00:35,70.885119,-129.29419
2010.02.06 17:00:37,70.888638,-129.425511
2010.02.07 17:00:36,70.973783,-129.951053
2010.02.08 17:00:36,71.00348,-130.178161
2010.02.09 17:00:36,70.950179,-129.933543
2010.02.10 17:00:41,70.980392,-129.973798
2010.02.11 17:00:36,70.971808,-130.385699
2010.02.12 17:00:37,70.915246,-131.10539
2010.02.13 17:00:36,70.917392,-131.763024
2010.02.14 17:00:47,70.917993,-132.144456
2010.02.15 17:00:41,70.891814,-132.452588
2010.02.16 17:01:04,70.845122,-132.519107
2010.02.17 17:00:37,70.874562,-132.58554
2010.02.18 17:00:36,70.862031,-132.598157
2010.02.19 17:00:53,71.049571,-133.313727
2010.02.20 17:00:36,70.960479,-134.937043
2010.02.21 17:01:09,70.702643,-135.842471
2010.02.22 17:00:55,70.354085,-135.4213
2010.02.23 17:00:35,70.35769,-135.466361
2010.02.24 17:00:35,70.447469,-134.669766
2010.02.25 17:00:35,70.520768,-134.355626
2010.02.26 17:00:35,70.529609,-134.306445
2010.02.27 17:00:35,70.50652,-134.384036
2010.02.28 17:00:35,70.516391,-134.373479
2010.03.01 17:00:35,70.515532,-134.376311
2010.03.02 17:00:59,70.515189,-134.37571
2010.03.03 17:00:41,70.512872,-134.375968
2010.03.04 17:00:35,70.518966,-134.359488
2010.03.05 17:00:44,70.521626,-134.355884
2010.03.06 17:00:37,70.513644,-134.362063
2010.03.07 17:00:35,70.514674,-134.386697
2010.03.08 17:00:35,70.509953,-134.320779
2010.03.09 17:00:35,70.512528,-134.320521
2010.03.10 17:00:35,70.512099,-134.348845
2010.03.11 17:00:35,70.513988,-134.258122
2010.03.12 17:00:36,70.516047,-134.362149
2010.03.13 17:00:35,70.509782,-134.329877
2010.03.14 17:00:34,70.508838,-134.319491
2010.03.15 17:00:36,70.507979,-134.327044
2010.03.16 17:00:35,70.490298,-134.300008
2010.03.17 17:00:36,70.485148,-134.287906
2010.03.18 17:00:34,70.545402,-134.329791
2010.03.19 17:00:36,70.580506,-134.074616
2010.03.20 17:00:40,70.511155,-133.823819
2010.03.21 17:00:34,70.350308,-133.701854
2010.03.22 17:00:35,70.219846,-133.632331
2010.03.23 17:00:36,70.04724,-133.180346
2010.03.24 17:00:36,70.063634,-133.071599
2010.03.25 17:00:51,70.063634,-133.071599
2010.03.26 17:00:35,70.063634,-133.071599
2010.03.27 17:00:50,70.084748,-133.053489
2010.03.28 17:00:55,70.36593,-133.176656
2010.03.30 17:00:36,70.496736,-133.176484
2010.03.31 17:00:50,70.513902,-132.561765
2010.04.01 17:00:50,70.502315,-132.508035
2010.04.02 17:00:35,70.520425,-132.08858
2010.04.03 17:00:50,70.501542,-132.053819
2010.04.04 17:00:36,70.504632,-132.064805
2010.04.05 17:00:55,70.519137,-131.98936
2010.04.06 17:00:35,70.528579,-131.436696
2010.04.07 17:00:50,70.514331,-131.232247
2010.04.08 17:00:51,70.49562,-131.141868
2010.04.09 17:00:49,70.492787,-131.138091
2010.04.10 17:00:54,70.49253,-131.134143
2010.04.11 17:00:37,70.529351,-130.895276
2010.04.12 17:00:36,70.655522,-130.463805
2010.04.13 17:00:35,70.725474,-130.32227
2010.04.14 17:00:54,70.83199,-130.395827
2010.04.15 17:01:03,70.863318,-130.04847
2010.04.16 17:01:06,70.861945,-129.998517
2010.04.17 17:00:37,70.929494,-129.967446
2010.04.18 17:01:05,71.101499,-129.800334
2010.04.19 17:01:05,71.173768,-129.996715
2010.04.20 17:00:44,71.208787,-130.102029
